C,Mn,Si,Cr,Ni,Mo,V,Co,Al,W,Cu,Nb,Ti,B,N,Ms
0.19,1.25,0.23,0.07,0.66,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0
1.0,0.45,0.0,1.52,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,359.0
0.26,0.58,0.49,1.65,0.18,0.84,0.38,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,653.0
0.06,1.96,0.32,0.0,0.0,0.18,0.22,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.005,721.0
1.2,1.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.0
0.38,0.69,0.2,0.95,1.58,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,589.75
0.43,0.83,1.55,0.91,3.02,0.4,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,569.0
0.004,0.03,0.075,0.0,22.48561,0.0,0.06396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,466.48333
0.0,0.0,0.0,0.53096,30.96549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.15
2.0,0.65,0.3,0.12,0.05,0.5,0.03,0.0,0.051,0.0,0.08,0.0,0.0,0.0,0.0,390.0
0.18,1.34,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,692.0
0.23,0.82,0.0,1.22,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,633.0
0.11,0.61,0.02,0.03,0.02,0.0,0.0,0.0,0.005,0.0,0.15,0.0,0.0,0.0,0.0,698.0
0.19,0.9,0.21,1.08,1.87,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,683.25
0.49,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.49,0.0,0.0,0.0,0.0,596.0
0.35,0.55,0.27,1.23,0.14,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,650.0
0.53,0.38,0.32,0.0,0.0,0.0,0.0,0.0,0.0,1.04,0.0,0.0,0.0,0.0,0.0,602.59444
0.55,0.34,0.94,1.27,0.12,0.05,0.18,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,565.5
0.38,0.64,0.23,0.99,0.08,0.16,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,640.0
0.35,0.86,1.55,1.21,0.21,0.58,0.06,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.021,592.0
0.004,0.03,0.075,0.0,21.51052,4.39771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,360.92778
0.19,2.16,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,653.0
